""	"output_series_d18O"	"output_series_d13C"
-67	0.8081534697	1.3478499046
-66.995	0.7899543184	1.337220397
-66.99	0.7799316504	1.3762758715
-66.985	0.7624555578	1.4182196516
-66.98	0.7451898677	1.4347657594
-66.975	0.6926088892	1.3753287008
-66.97	0.671029377	1.3522684437
-66.965	0.6608679229	1.3282228192
-66.96	0.6608679229	1.3282228192
-66.955	0.7380376002	1.3929458518
-66.95	0.7345296275	1.3741381669
-66.945	0.6965707455	1.3023014827
-66.94	0.6736674435	1.2600927589
-66.935	0.7150788588	1.2972457861
-66.93	0.766915386	1.3523912995
-66.925	0.8137922717	1.4157381707
-66.92	0.7648413975	1.3523654713
-66.915	0.7125823496	1.3010985785
-66.91	0.6342276077	1.2417374662
-66.905	0.6945587174	1.3310386782
-66.9	0.6898396153	1.3482858311
-66.895	0.6742405875	1.3342153536
-66.89	0.6627257135	1.3176725001
-66.885	0.6753885032	1.3307125607
-66.88	0.6800967934	1.3478956441
-66.875	0.6869343896	1.355877343
-66.87	0.696135113	1.3557127867
-66.865	0.7327201774	1.3814188081
-66.86	0.7755021866	1.4065639773
-66.855	0.7775726047	1.3913279941
-66.85	0.7619606828	1.3794454014
-66.845	0.7165065461	1.3439546891
-66.84	0.7495359252	1.40097465
-66.835	0.7561160198	1.4150109093
-66.83	0.7498837282	1.3891945419
-66.825	0.7390790187	1.3638503951
-66.82	0.7579243884	1.3920341954
-66.815	0.7554088225	1.3855409149
-66.81	0.774279417	1.4064216883
-66.805	0.7793898625	1.4286053507
-66.8	0.7334559979	1.3828978646
-66.795	0.7403217639	1.3962073045
-66.79	0.7253497137	1.358400939
-66.785	0.7237791396	1.3294206077
-66.78	0.7813243102	1.37705605
-66.775	0.8396492392	1.4162914673
-66.77	0.9073667944	1.4552806555
-66.765	0.9336201493	1.4822493784
-66.76	0.8490670025	1.4067358004
-66.755	0.7453825533	1.2952311989
-66.75	0.7081106348	1.2734549089
-66.745	0.7331127771	1.3189110741
-66.74	0.7189754813	1.3073909417
-66.735	0.6735098852	1.2384551645
-66.73	0.7157671609	1.3017838431
-66.725	0.7098606341	1.2958162407
-66.72	0.6955212001	1.2400350386
