""	"output_series_d18O"	"output_series_d13C"
-50.3	-0.3013180291	0.861823673
-50.2	-0.449829413	0.5952673165
-50.1	-0.3004200744	0.8377762298
-50	-0.491838782	0.5295736086
-49.9	-0.2935401362	0.6405058415
-49.8	-0.264132823	0.8964530697
-49.7	-0.2849158818	0.7715909753
-49.6	-0.212320337	0.7476383117
-49.5	-0.3304334348	0.6920239404
-49.4	-0.4288594312	0.6197446695
-49.3	-0.4491779455	0.5014017204
-49.2	-0.2889941068	0.5957007849
-49.1	-0.2514908685	0.7401664479
-49	-0.3044577535	0.6879247968
-48.9	-0.3104811019	0.6451946275
-48.8	-0.2330730353	0.5854191253
-48.7	-0.1133840979	0.7588122671
-48.6	-0.0371910181	0.8884434203
-48.5	-0.045729969	0.6315361932
-48.4	-0.0568504171	0.6504224531
-48.3	-0.0600104058	0.6101658804
-48.2	0.0454374005	0.7949359671
-48.1	-0.3486348716	0.3582840515
-48	-0.1917032088	0.5534888237
-47.9	-0.2568503957	0.4606072943
-47.8	0.0954421664	0.7751857903
-47.7	0.0611087567	0.7296448067
-47.6	0.013722106	0.5584945873
-47.5	-0.177411321	0.3298429968
-47.4	0.1205596769	0.6196952988
-47.3	-0.0392735582	0.4071017445
-47.2	0.0606838651	0.543042312
-47.1	0.0814059644	0.5110656719
-47	0.209849264	0.6096748249
-46.9	0.2103659327	0.5186053076
-46.8	0.3099210621	0.3505387753
-46.7	0.3733664211	0.3474699457
-46.6	0.360323557	0.3755206332
-46.5	0.4515128961	0.4044642811
-46.4	0.452335824	0.3228058725
-46.3	0.4855655271	0.304597249
-46.2	0.6802308526	0.4517243657
-46.1	0.5875080532	0.4245064424
-46	0.4329122785	0.3244524518
-45.9	0.5230399029	0.5066611038
-45.8	0.5192028551	0.5812019175
-45.7	0.566639551	0.6472582532
-45.6	0.5620397799	0.5686856759
-45.5	0.5636055502	0.3990625748
-45.4	0.6411303981	0.5283847002
-45.3	0.6734876091	0.5550362693
-45.2	0.647217415	0.4669258556
-45.1	0.6791559326	0.4477843631
-45	0.661954382	0.4458696172
-44.9	0.6772593715	0.4789152146
-44.8	0.6316782123	0.4282840101
-44.7	0.7033319616	0.5434506154
-44.6	0.7871265696	0.5322904973
-44.5	0.6841351609	0.4618030619
-44.4	0.5968541849	0.3226914208
-44.3	0.4852226872	0.1849023447
-44.2	0.7123009108	0.5902132635
-44.1	0.6847212714	0.6323075751
-44	0.5655368075	0.4541040779
-43.9	0.4939614196	0.4975500281
-43.8	0.4316733629	0.5444830604
-43.7	0.570672768	0.748361797
-43.6	0.5046038688	0.5347608772
-43.5	0.2861255527	0.2285545393
-43.4	0.4345506577	0.5511198102
-43.3	0.5304700595	0.7179581622
-43.2	0.4937399331	0.6532208974
-43.1	0.3108582757	0.5535253928
-43	0.4108577489	0.6034614001
-42.9	0.4060847997	0.3810125284
-42.8	0.4973265318	0.4781807759
-42.7	0.5320246967	0.4253002268
-42.6	0.5831160739	0.3190396843
-42.5	0.7201866483	0.3801018056
-42.4	0.5123082269	0.0259303852
-42.3	0.7020375961	0.2218773533
-42.2	0.8745281858	0.4324821153
-42.1	0.8685883845	0.4920266635
-42	0.7833827935	0.4988058241
-41.9	0.6309796469	0.404036116
-41.8	0.6497442847	0.4838159252
-41.7	0.7032400266	0.5285192703
-41.6	0.5809653233	0.295974465
-41.5	0.7289934461	0.2687018416
-41.4	0.7110991957	0.2494952483
-41.3	0.8422911155	0.5074694584
-41.2	0.9022685994	0.5546270388
-41.1	0.9548834513	0.5708689769
-41	0.8843604169	0.5500066881
-40.9	0.8262280996	0.44009365
-40.8	0.8873264746	0.4401316929
-40.7	0.9382572047	0.3738052513
-40.6	0.9371123911	0.3611531332
-40.5	0.8186309449	0.6623926136
-40.4	0.4135936184	0.6034669945
-40.3	0.2056961494	0.6636370699
-40.2	0.6462608231	1.0001400653
-40.1	0.5818650745	1.0141240865
-40	0.9730835161	1.1961830236
-39.9	0.7815834509	0.9356505373
-39.8	0.9464879668	0.9371158212
-39.7	0.904356019	0.9226112548
-39.6	1.0088560942	0.8394640578
-39.5	1.0317779569	0.6930110449
-39.4	1.0879596144	0.7372793197
-39.3	1.1494077745	0.6574129235
-39.2	1.2156263001	0.7138768626
-39.1	0.9663285747	0.4630632616
-39	1.2889085343	0.7659375914
-38.9	1.2724916957	0.8005023816
-38.8	1.1744156576	0.5531274576
-38.7	1.22021511	0.5404531958
-38.6	1.1220027471	0.4233351563
-38.5	1.1077032868	0.5053303617
-38.4	1.1569001692	0.6164715082
-38.3	1.1949213535	0.5383650118
-38.2	1.2394807946	0.666186242
-38.1	1.27022367	0.681239068
-38	1.3707016858	0.5772058407
-37.9	1.3770782962	0.5240847143
-37.8	1.3695892564	0.5833873584
-37.7	1.2868480207	0.6221908026
-37.6	1.2235274092	0.9039473184
-37.5	1.1184787507	0.9227329449
-37.4	1.1573757566	0.9629503402
-37.3	0.9657322744	0.7913684013
-37.2	1.025049215	0.8311133361
-37.1	1.0038179537	0.8570629826
-37	0.9667780711	1.1032193414
-36.9	0.7040046652	0.8250899056
-36.8	0.9366520175	1.1225935513
-36.7	0.9223232774	1.045243706
-36.6	1.140268996	1.3071027776
-36.5	1.2287646207	1.280726823
-36.4	1.3543456309	1.4577622862
-36.3	1.1584358614	1.059060663
-36.2	1.3550876933	1.1469321137
-36.1	1.3032252524	0.8740694183
-36	1.4753197379	0.9977262085
-35.9	1.1892113405	0.7194402555
-35.8	0.9987962439	0.6432483228
-35.7	1.2996048326	0.7954113877
-35.6	1.4571084818	1.0183685761
-35.5	1.4571084818	1.0183685761
-35.4	1.4866118089	0.6688952003
-35.3	1.476946354	0.705492586
-35.2	1.4878606452	0.7730598274
-35.1	1.4874792934	0.7192132285
-35	1.4000374902	0.6226871395
-34.9	1.2725065303	0.5214264609
-34.8	1.4990646647	0.8011560506
-34.7	1.4106483319	0.7936233407
-34.6	1.3552538078	0.7283041846
-34.5	1.5220775182	0.8305693068
-34.4	1.2201890933	0.5707794398
-34.3	1.3516884407	0.5170796992
-34.2	1.3877606603	0.3268613501
-34.1	1.4304278635	0.4678586596
-34	1.7474649538	1.0232414943
-33.9	1.7716686075	0.9703194247
-33.8	1.7164703875	0.945287384
-33.7	2.3038845365	1.1342869997
-33.6	2.4946363007	1.5941364688
-33.5	2.5110470307	1.4161873942
-33.4	2.3675117908	1.3287350206
-33.3	2.3737667162	1.3416350957
-33.2	2.1298199117	1.0771279341
-33.1	2.1756195657	0.9232666811
-33	2.1321748529	0.9623301341
-32.9	2.2336694922	0.933977404
-32.8	2.4328598588	1.0310347479
-32.7	2.284396571	0.9878430856
-32.6	2.258398774	0.8297766342
-32.5	2.3406447277	0.8992533171
-32.4	2.3846702404	0.880300325
-32.3	2.0364000295	0.6653587397
-32.2	1.8746018013	0.4735925183
-32.1	1.9355251776	0.7349761353
-32	2.0995487709	0.9325678165
-31.9	2.0757293987	0.7148263034
-31.8	2.2168615393	0.639634351
-31.7	2.1095894214	0.6766301053
-31.6	2.1456796648	0.9420141939
-31.5	2.1608212743	0.9222533111
-31.4	2.2494073628	0.6910786765
-31.3	2.2884194432	0.6861161651
-31.2	2.3400739519	1.046558409
-31.1	2.2351877492	0.7837714153
-31	2.2536898417	0.9669265912
-30.9	2.4639651174	1.0024817464
-30.8	2.350619103	0.831770906
-30.7	2.2179327428	0.8074263881
-30.6	2.4110500269	0.707270817
-30.5	2.3475321777	0.7761845404
-30.4	2.4526647316	0.6726086149
-30.3	2.1855036622	0.5190271605
-30.2	2.4582841699	0.6589765451
-30.1	2.346538617	0.5219485555
-30	2.2311214109	0.4498068294
-29.9	2.2275025859	0.4329442062
-29.8	2.1919068598	0.2673984319
