""	"output_series_d18O"	"output_series_d13C"
-67	0.8091816898	1.3485084714
-66.95	0.7344953488	1.3765397795
-66.9	0.6927542287	1.349772507
-66.85	0.7658082656	1.3828691532
-66.8	0.73650066	1.3876262951
-66.75	0.7082847096	1.2733042244
-66.7	0.6819443917	1.1777574571
-66.65	0.6413171269	1.112126515
-66.6	0.6481845316	1.2079808241
-66.55	0.5802065492	1.1745703619
-66.5	0.5745109755	1.0581341501
-66.45	0.515401674	1.1294080682
-66.4	0.5287366827	1.2289288053
-66.35	0.6428506863	1.5868735456
-66.3	0.1884421995	1.4373608373
-66.25	-0.0691192158	1.2028322244
-66.2	0.0689483945	1.4815322005
-66.15	0.1769993966	1.517182664
-66.1	0.3095966527	1.4728989948
-66.05	0.6312105842	1.858297517
-66	0.6071050362	2.0720200968
-65.95	0.3986044204	1.8021983763
-65.9	0.450270566	1.6609326159
-65.85	0.3801109192	1.4364650737
-65.8	0.3793811879	1.3745532683
-65.75	0.3484438211	1.3743209025
-65.7	0.3997355802	1.3672272115
-65.65	0.2292601416	1.3446365848
-65.6	0.1607992798	1.199091391
-65.55	0.2019927162	1.1897255841
-65.5	0.2112426921	1.1690026058
-65.45	0.1732009681	1.1459794319
-65.4	0.1178073579	1.0615297681
-65.35	0.1227778684	0.9768607217
-65.3	0.1908796272	0.9508076835
-65.25	0.0677490365	0.7885384414
-65.2	0.1154403462	1.0708916115
-65.15	0.0599848123	1.0250140417
-65.1	0.1493375056	1.2084226204
-65.05	0.2210118928	1.242567825
-65	0.2501736525	1.2411434637
-64.95	0.1178832857	1.1108948585
-64.9	0.1720695148	1.2124816329
-64.85	0.1722605156	1.1977813574
-64.8	0.3050791485	1.2749104152
-64.75	0.1943912576	1.1372020672
-64.7	0.1357825179	1.0663354355
-64.65	0.1708256741	1.0423776722
-64.6	0.1241239528	0.9542285071
-64.55	0.1865464723	1.0165839763
-64.5	0.1651137866	0.974417766
-64.45	0.2234208036	0.9946559718
-64.4	0.3268117251	1.0833026089
-64.35	0.307400624	1.196836655
-64.3	0.2706980366	1.1841874678
-64.25	0.3448434427	1.2402861102
-64.2	0.2445982763	1.2626339838
-64.15	0.1859904622	1.1080506788
-64.1	0.1675404148	0.9970782239
-64.05	0.1497143106	0.9842790569
-64	0.2660100338	1.0594766398
-63.95	0.2208406926	1.01545719
-63.9	0.2012009376	1.0936336359
-63.85	0.0380330722	1.0150430383
-63.8	0.2931420188	1.2266741683
-63.75	0.1907247146	1.0821018776
-63.7	0.1199431562	0.9979668761
-63.65	0.0150384659	0.9673020288
-63.6	0.0403902314	0.835213952
-63.55	0.0949931353	0.9570050144
-63.5	0.0969019985	1.0343877242
-63.45	0.3081641387	1.0672352399
-63.4	0.1329653046	0.9482422705
-63.35	0.0355914621	0.7644840003
-63.3	0.2422055702	1.0103690107
-63.25	0.1320654571	0.7595848248
-63.2	0.3136027022	0.9456012676
-63.15	0.3066076409	0.9902886725
-63.1	0.3954971497	1.1506873333
-63.05	0.1228667511	1.0783867049
-63	0.297463091	1.1425260305
-62.95	0.1889905335	0.9620967557
-62.9	0.1485688465	1.0076041983
-62.85	0.1749587956	0.9549665139
-62.8	0.4784273604	1.1508283395
-62.75	0.5497644451	1.1814794179
-62.7	0.4423053888	1.1434855209
-62.65	0.4278330181	1.0760021983
-62.6	0.3804084394	1.052253204
-62.55	0.3267211146	0.8760766299
-62.5	0.4279812522	0.8725316353
-62.45	0.5229694828	0.9754296821
-62.4	0.5645417284	0.813130384
-62.35	0.6047631755	0.9478011091
-62.3	0.6696285572	0.9611935922
-62.25	0.744579744	1.1606250357
-62.2	0.7168777754	1.160179876
-62.15	0.5558220725	0.9523509945
-62.1	0.2086013925	0.3732252118
-62.05	0.4126876999	0.7372273175
-62	0.3231368958	0.6141023671
-61.95	0.636189219	1.0754796229
-61.9	0.5048359765	0.9361807845
-61.85	0.5389059706	0.8758254357
-61.8	0.5863943684	0.9328271435
-61.75	0.396922541	0.7491176255
-61.7	0.4262101683	0.8021763584
-61.65	0.4587910076	0.9372087509
-61.6	0.4526893567	0.9848810927
-61.55	0.6547374888	1.233154249
-61.5	0.4838821488	1.0487177567
-61.45	0.5181253726	1.2480682983
-61.4	0.2944850568	1.0526863307
-61.35	0.1598728466	0.7942624468
-61.3	0.2427720417	0.7944672308
-61.25	0.3321362907	0.7169372657
-61.2	0.5803858583	0.9312079771
-61.15	0.5902611839	1.1141155695
-61.1	0.691973329	1.3832423321
-61.05	0.5506745854	1.3235638393
-61	0.7029180764	1.4771346504
-60.95	0.5894134468	1.3143319578
-60.9	0.6555673396	1.4895729236
-60.85	0.5234951936	1.3713552413
-60.8	0.6851386662	1.5781972705
-60.75	0.6179676461	1.5714902316
-60.7	0.7284110864	1.6173406186
-60.65	0.6875201174	1.5016701439
-60.6	0.697238202	1.4927253999
-60.55	0.7126371638	1.6044372408
-60.5	0.5803488659	1.3393630359
-60.45	0.6932613805	1.4674317687
-60.4	0.5937841866	1.3676789205
-60.35	0.7144461604	1.6223674961
-60.3	0.5793165109	1.5119249615
-60.25	0.666330052	1.5759841589
-60.2	0.7502026105	1.6162873379
-60.15	0.8108822185	1.7029869383
-60.1	0.6639190589	1.4794461032
-60.05	0.7272891015	1.5303564543
-60	0.5464875756	1.2920006761
-59.95	0.7422315688	1.5684086089
-59.9	0.5970949561	1.3705384902
-59.85	0.716642221	1.4559614052
-59.8	0.7391220049	1.5638976776
-59.75	0.6196903327	1.3446326286
-59.7	0.6798669613	1.4379124011
-59.65	0.6350281514	1.3904967386
-59.6	0.5781597549	1.3086846935
-59.55	0.7879454624	1.6002740977
-59.5	0.8431346628	1.6739670142
-59.45	0.7522841253	1.5994914867
-59.4	0.7799579528	1.6329153389
-59.35	0.7845964188	1.8023970644
-59.3	0.5797324289	2.0284614507
-59.25	0.5604505439	1.8567911653
-59.2	0.8213816856	2.0694328867
-59.15	0.8182530638	1.9771362223
-59.1	0.8155252439	2.0142466179
-59.05	0.8176634952	2.1357814654
-59	0.8115575828	2.2246870393
-58.95	0.5715121776	2.0089869032
-58.9	0.7032418764	2.0444287247
-58.85	0.6827553017	1.9093181901
-58.8	0.6621576766	1.9728638522
-58.75	0.6037710197	1.9493244949
-58.7	0.5931600808	2.0680892649
-58.65	0.6457733002	2.1393704293
-58.6	0.6931955214	2.1539857613
-58.55	0.6512014562	2.104017057
-58.5	0.5061312139	2.0235097223
