""	"output_series_d18O"	"output_series_d13C"
-67	0.8074393823	1.3474605835
-66.999	0.8037956476	1.3451863513
-66.998	0.8037956476	1.3451863513
-66.997	0.8037956476	1.3451863513
-66.996	0.8037956476	1.3451863513
-66.995	0.7813739173	1.3358717473
-66.994	0.7813739173	1.3358717473
-66.993	0.7754089887	1.3478126952
-66.992	0.7754089887	1.3478126952
-66.991	0.7810354861	1.3806255838
-66.99	0.7810354861	1.3806255838
-66.989	0.7810354861	1.3806255838
-66.988	0.7882962037	1.4310567206
-66.987	0.7882962037	1.4310567206
-66.986	0.760664072	1.4179497221
-66.985	0.760664072	1.4179497221
-66.984	0.760664072	1.4179497221
-66.983	0.760664072	1.4179497221
-66.982	0.7460631519	1.4308916886
-66.981	0.7460631519	1.4308916886
-66.98	0.7395590913	1.4327516085
-66.979	0.7395590913	1.4327516085
-66.978	0.7148629589	1.4048338509
-66.977	0.7148629589	1.4048338509
-66.976	0.7148629589	1.4048338509
-66.975	0.682383385	1.3615634311
-66.974	0.682383385	1.3615634311
-66.973	0.682383385	1.3615634311
-66.972	0.682383385	1.3615634311
-66.971	0.6690309172	1.3483191112
-66.97	0.6690309172	1.3483191112
-66.969	0.6634887521	1.3369361249
-66.968	0.6634887521	1.3369361249
-66.967	0.6600644455	1.3279919924
-66.966	0.6600644455	1.3279919924
-66.965	0.6642396138	1.3305807883
-66.964	0.6642396138	1.3305807883
-66.963	0.6642396138	1.3305807883
-66.962	0.6642396138	1.3305807883
-66.961	0.6642396138	1.3305807883
-66.96	0.6642396138	1.3305807883
-66.959	0.6642396138	1.3305807883
-66.958	0.7276286911	1.3869903104
-66.957	0.7276286911	1.3869903104
-66.956	0.7390308046	1.3956761054
-66.955	0.7390308046	1.3956761054
-66.954	0.7411569577	1.3949506289
-66.953	0.7411569577	1.3949506289
-66.952	0.7446860414	1.3916315012
-66.951	0.7446860414	1.3916315012
-66.95	0.7238099837	1.3546493778
-66.949	0.7238099837	1.3546493778
-66.948	0.7238099837	1.3546493778
-66.947	0.7238099837	1.3546493778
-66.946	0.7238099837	1.3546493778
-66.945	0.6932028376	1.2928618162
-66.944	0.6932028376	1.2928618162
-66.943	0.6829013741	1.2726148616
-66.942	0.6829013741	1.2726148616
-66.941	0.6742828424	1.2609775605
-66.94	0.6742828424	1.2609775605
-66.939	0.6742828424	1.2609775605
-66.938	0.6742828424	1.2609775605
-66.937	0.709966764	1.2938677808
-66.936	0.709966764	1.2938677808
-66.935	0.709966764	1.2938677808
-66.934	0.7324047206	1.3153250501
-66.933	0.7324047206	1.3153250501
-66.932	0.7530275101	1.337699423
-66.931	0.7530275101	1.337699423
-66.93	0.7746256017	1.3631130572
-66.929	0.7746256017	1.3631130572
-66.928	0.7968614023	1.395163035
-66.927	0.7968614023	1.395163035
-66.926	0.8121699155	1.4129210915
-66.925	0.8121699155	1.4129210915
-66.924	0.7924031357	1.3880654198
-66.923	0.7924031357	1.3880654198
-66.922	0.7924031357	1.3880654198
-66.921	0.761042054	1.3473770916
-66.92	0.761042054	1.3473770916
-66.919	0.7392287993	1.3253428181
-66.918	0.7252512735	1.3097456069
-66.917	0.7252512735	1.3097456069
-66.916	0.7059664013	1.2972530393
-66.915	0.7059664013	1.2972530393
-66.914	0.6558576192	1.254459209
-66.913	0.6558576192	1.254459209
-66.912	0.6558576192	1.254459209
-66.911	0.6343946733	1.2431010496
-66.91	0.6343946733	1.2431010496
-66.909	0.6494363285	1.267977388
-66.908	0.6494363285	1.267977388
-66.907	0.6796960439	1.3116363206
-66.906	0.6796960439	1.3116363206
-66.905	0.6981642546	1.3419130582
-66.904	0.6981642546	1.3419130582
-66.903	0.6940771623	1.3472612294
-66.902	0.6940771623	1.3472612294
-66.901	0.6940771623	1.3472612294
-66.9	0.6940771623	1.3472612294
-66.899	0.6847882252	1.3455084879
-66.898	0.6847882252	1.3455084879
-66.897	0.6751821941	1.3337901368
-66.896	0.6751821941	1.3337901368
-66.895	0.6751821941	1.3337901368
-66.894	0.6866104597	1.3436852625
-66.893	0.6866104597	1.3436852625
-66.892	0.6779204152	1.3351918476
-66.891	0.662729063	1.3169299844
-66.89	0.662729063	1.3169299844
-66.889	0.662729063	1.3169299844
-66.888	0.661242777	1.3114698085
-66.887	0.661242777	1.3114698085
-66.886	0.6755290048	1.3307654885
-66.885	0.6755290048	1.3307654885
-66.884	0.6736547259	1.3309710253
-66.883	0.6736547259	1.3309710253
-66.882	0.6761736389	1.3415026749
-66.881	0.6761736389	1.3415026749
-66.88	0.6833562687	1.353274932
-66.879	0.6833562687	1.353274932
-66.878	0.6893263647	1.3624551368
-66.877	0.6893263647	1.3624551368
-66.876	0.6864786476	1.3539202392
-66.875	0.6864786476	1.3539202392
-66.874	0.6901791309	1.3538882626
-66.873	0.6901791309	1.3538882626
-66.872	0.6901791309	1.3538882626
-66.871	0.6901791309	1.3538882626
-66.87	0.6901791309	1.3538882626
-66.869	0.7130091588	1.3631737136
-66.868	0.7130091588	1.3631737136
-66.867	0.7130091588	1.3631737136
-66.866	0.7130091588	1.3631737136
-66.865	0.745306029	1.3905806529
-66.864	0.745306029	1.3905806529
-66.863	0.766028876	1.4055828122
-66.862	0.766028876	1.4055828122
-66.861	0.7727554593	1.402438235
-66.86	0.7727554593	1.402438235
-66.859	0.7453770443	1.3580235013
-66.858	0.7453770443	1.3580235013
-66.857	0.763677597	1.3773495369
-66.856	0.763677597	1.3773495369
-66.855	0.7778198845	1.3917692357
-66.854	0.7778198845	1.3917692357
-66.853	0.7531447403	1.3633276254
-66.852	0.7531447403	1.3633276254
-66.851	0.758334838	1.3773300693
-66.85	0.758334838	1.3773300693
-66.849	0.7273941127	1.3479714796
-66.848	0.7273941127	1.3479714796
-66.847	0.7273941127	1.3479714796
-66.846	0.7273941127	1.3479714796
-66.845	0.7273941127	1.3479714796
-66.844	0.7428389605	1.383531235
-66.843	0.7428389605	1.383531235
-66.842	0.7566442633	1.4064772647
-66.841	0.7566442633	1.4064772647
-66.84	0.7459905944	1.3997081206
-66.839	0.7459905944	1.3997081206
