""	"output_series_d18O"	"output_series_d13C"
-67	0.8089194101	1.3490638456
-66.99	0.783354786	1.3739602202
-66.98	0.7464287309	1.4359159602
-66.97	0.6710811578	1.3489385603
-66.96	0.6755828402	1.3365056807
-66.95	0.7344585569	1.3763320001
-66.94	0.6740928179	1.2612724886
-66.93	0.766381846	1.3520599833
-66.92	0.7652495422	1.35320812
-66.91	0.6358187302	1.2420401957
-66.9	0.6925266454	1.3497948177
-66.89	0.6624595021	1.3171796737
-66.88	0.680258587	1.348176293
-66.87	0.6948123208	1.3542276476
-66.86	0.7729398363	1.405440366
-66.85	0.7655656483	1.3827809692
-66.84	0.7496162403	1.4006205311
-66.83	0.750006865	1.3900283368
-66.82	0.7576595459	1.3910328471
-66.81	0.7747226148	1.4057697063
-66.8	0.7365150954	1.3877139852
-66.79	0.724999328	1.3591224899
-66.78	0.7795643963	1.3753330614
-66.77	0.9062851632	1.4552750111
-66.76	0.849480915	1.4072017299
-66.75	0.7080058425	1.2729656808
-66.74	0.7192271535	1.3069879661
-66.73	0.7168480354	1.3025320023
-66.72	0.694186764	1.2402686827
-66.71	0.7642236803	1.2827023239
-66.7	0.6821025905	1.1777932356
-66.69	0.7281670395	1.2611099879
-66.68	0.7595022164	1.3275739598
-66.67	0.6780082609	1.209707108
-66.66	0.69161051	1.1644777966
-66.65	0.6413192414	1.1119530909
-66.64	0.6169559888	1.1142938881
-66.63	0.5589520888	1.0482519538
-66.62	0.5929085392	1.0721941926
-66.61	0.6061598217	1.1202307539
-66.6	0.6478418176	1.2087312941
-66.59	0.6138494016	1.2054001769
-66.58	0.6966910241	1.3117088491
-66.57	0.5927578565	1.1765163261
-66.56	0.5763828253	1.1533623287
-66.55	0.581062653	1.1730983699
-66.54	0.4619615159	0.9887576897
-66.53	0.4906730976	1.0055320434
-66.52	0.5294284565	1.0776335623
-66.51	0.495116209	0.9760130715
-66.5	0.5754456595	1.0593209189
-66.49	0.4631603418	0.9520584802
-66.48	0.5058158043	1.0839535103
-66.47	0.5628448781	1.1950531796
-66.46	0.4757997571	1.1325683856
-66.45	0.5196435648	1.126467358
-66.44	0.5791083832	1.1750687143
-66.43	0.6303863481	1.2394899867
-66.42	0.6247707256	1.2620838822
-66.41	0.5763236357	1.2647746291
-66.4	0.5276670582	1.2285884638
-66.39	0.4867666039	1.2769099534
-66.38	0.4423189241	1.3038321444
-66.37	0.545719271	1.4947965895
-66.36	0.6408385048	1.600296923
-66.35	0.6408385048	1.600296923
-66.34	0.4681240383	1.3215965216
-66.33	0.4477561727	1.379871881
-66.32	0.3772844044	1.4099346267
-66.31	0.2778435878	1.373680899
-66.3	0.1879769043	1.437875912
-66.29	0.0986025318	1.3663713272
-66.28	0.0763038759	1.385401565
-66.27	-0.0409050486	1.2682832239
-66.26	-0.0031334165	1.289413048
-66.25	-0.0691209228	1.2025696011
-66.24	-0.0963102789	1.2287035353
-66.23	-0.0342967161	1.3311137973
-66.22	-0.0843854374	1.2735628033
-66.21	-0.035926665	1.3923875649
-66.2	0.0698646707	1.4838753354
-66.19	0.0314316625	1.4386271313
-66.18	0.1184698821	1.5013929378
-66.17	0.1189236316	1.5066653177
-66.16	0.2028543349	1.6166123678
-66.15	0.1779531419	1.5052667618
-66.14	0.192124974	1.4684929418
-66.13	0.309957809	1.5531493514
-66.12	0.4350876321	1.6808720217
-66.11	0.4253709827	1.6324285168
-66.1	0.3029901035	1.4658476821
-66.09	0.409991618	1.5972954889
-66.08	0.5129618383	1.6779889517
-66.07	0.5180316461	1.6736209029
-66.06	0.5767915071	1.7577836414
-66.05	0.6343994693	1.8574730545
-66.04	0.6396706922	1.8842737576
-66.03	0.5771392771	1.9128204795
-66.02	0.5009288709	1.9581886512
-66.01	0.5459794987	2.0585147411
-66	0.6069556363	2.0722276973
-65.99	0.5988492873	2.0569062047
-65.98	0.5162462763	1.9429816258
-65.97	0.458088971	1.8679331424
-65.96	0.4845040202	1.8966568766
-65.95	0.3990505035	1.8019508179
-65.94	0.4836722564	1.8301091135
-65.93	0.4548569093	1.7633397893
-65.92	0.4528221792	1.7688661393
-65.91	0.4274894366	1.7057837938
-65.9	0.4506315573	1.6604569234
-65.89	0.4415493085	1.6311954431
-65.88	0.4372895743	1.6331688947
-65.87	0.4550793675	1.6260419017
-65.86	0.4075309435	1.5128080481
-65.85	0.3801450679	1.4356962615
-65.84	0.3542733472	1.3553784172
-65.83	0.393809111	1.363261785
-65.82	0.3504939828	1.3091588486
-65.81	0.3836152617	1.3732699741
-65.8	0.3805276182	1.3744425366
-65.79	0.3795456864	1.4020772861
-65.78	0.3666895543	1.37167956
-65.77	0.4238088717	1.4458518119
-65.76	0.3554309131	1.3809160277
-65.75	0.3500754738	1.3721749699
-65.74	0.3619306725	1.3640028348
-65.73	0.395393489	1.3860880405
-65.72	0.3311558237	1.2942473613
-65.71	0.3712345853	1.3287818033
-65.7	0.398785373	1.3646748474
-65.69	0.4430302269	1.4166321868
-65.68	0.4049550149	1.3841737776
-65.67	0.4290770576	1.444740652
-65.66	0.2132303704	1.2739203439
-65.65	0.2309548321	1.3459897322
-65.64	0.2496928924	1.3521177904
-65.63	0.212708894	1.2680388578
-65.62	0.2407417991	1.3010783984
-65.61	0.143820107	1.1839073563
-65.6	0.1699487235	1.2020110571
-65.59	0.192080077	1.1945365836
-65.58	0.2362118424	1.2338616005
-65.57	0.2505279145	1.2655361253
-65.56	0.2681762125	1.2886936832
-65.55	0.201466896	1.1881150738
-65.54	0.2092439129	1.1713306371
-65.53	0.2326013168	1.1979108581
-65.52	0.1704861125	1.0978995558
-65.51	0.2132207478	1.1658469152
-65.5	0.2132207478	1.1658469152
-65.49	0.2158908976	1.1813235888
-65.48	0.204393372	1.1652725183
-65.47	0.1822584843	1.1561333716
-65.46	0.1964059619	1.1789084773
-65.45	0.1661633363	1.1382559242
-65.44	0.1396836145	1.1150196548
-65.43	0.1396836145	1.1150196548
-65.42	0.1396836145	1.1150196548
-65.41	0.1520449904	1.0989760211
-65.4	0.1237381006	1.0624204786
-65.39	0.1948563266	1.1524882647
-65.38	0.1948563266	1.1524882647
-65.37	0.227975163	1.1610180497
-65.36	0.2028235808	1.1166135289
-65.35	0.1236742849	0.9614420136
-65.34	0.0309743474	0.7677031963
-65.33	0.0996900199	0.8284989852
-65.32	0.152094998	0.8959294623
-65.31	0.152094998	0.8959294623
-65.3	0.1936210667	0.9595703924
-65.29	0.1769034718	0.9328213302
-65.28	0.1769034718	0.9328213302
-65.27	0.1639212407	0.931043025
-65.26	0.1105533213	0.843767064
-65.25	0.0672132522	0.7893554027
-65.24	0.1036551976	0.8530806825
-65.23	0.1036551976	0.8530806825
-65.22	0.0663349171	0.8747549047
-65.21	0.0926189861	0.9890088816
-65.2	0.1136526309	1.0765604271
-65.19	0.1199169849	1.1186061509
-65.18	0.1131307529	1.1437470841
-65.17	0.1358173145	1.1842954102
-65.16	0.1053425213	1.1066172164
-65.15	0.0597961203	1.0234067289
-65.14	0.089265725	1.0840955001
-65.13	0.0607758625	1.0369698113
-65.12	0.0597151368	1.0182954036
-65.11	0.1095148251	1.1054943139
-65.1	0.147009099	1.2087951555
-65.09	0.1584913593	1.2642568807
-65.08	0.1470520267	1.2523262829
-65.07	0.2097916421	1.316707303
-65.06	0.2190662635	1.2755366425
-65.05	0.2207104872	1.239703482
-65.04	0.2375022599	1.2450953624
-65.03	0.232474923	1.2303744574
-65.02	0.2145103365	1.2035641203
-65.01	0.2385062076	1.2339631811
-65	0.2474338162	1.2386342314
-64.99	0.269096436	1.2768679314
-64.98	0.2627110638	1.2759082637
-64.97	0.1797666079	1.1789260299
-64.96	0.1170821519	1.106841101
-64.95	0.1164258598	1.1084779191
-64.94	0.062164947	1.03002746
-64.93	0.0501828374	1.0242700922
-64.92	0.0837552972	1.082328268
-64.91	0.1064156326	1.1301565498
-64.9	0.1757685434	1.2170338867
-64.89	0.2206573771	1.2744802157
-64.88	0.1813500013	1.2131009288
-64.87	0.1655672934	1.201117406
-64.86	0.1852046008	1.2217486968
-64.85	0.1699790034	1.1960176205
-64.84	0.1911896167	1.2254938974
-64.83	0.2567520477	1.2764139099
-64.82	0.2597298719	1.2517420935
-64.81	0.2913324378	1.2674937484
-64.8	0.3116719661	1.2817563729
-64.79	0.3259846014	1.2956188374
-64.78	0.313224719	1.2784989677
-64.77	0.2702771858	1.214830725
-64.76	0.2459739442	1.1902649737
-64.75	0.1943606768	1.1369042683
-64.74	0.219709456	1.169821218
-64.73	0.1810402512	1.119127669
-64.72	0.1435782991	1.0698036826
-64.71	0.1435782991	1.0698036826
-64.7	0.1435782991	1.0698036826
-64.69	0.1340335478	1.0733007217
-64.68	0.1052742062	1.0167523267
-64.67	0.1605552262	1.0838189023
-64.66	0.1801913715	1.0827103539
-64.65	0.1709288104	1.0408022304
-64.64	0.1817662223	1.0495227223
-64.63	0.1637728612	0.9962446382
-64.62	0.1488333156	0.9812462729
-64.61	0.1472627655	0.9768108202
-64.6	0.1208273011	0.9529401609
-64.59	0.1224216936	0.9467686143
-64.58	0.1416831828	0.95742271
-64.57	0.1835830797	1.0166167659
-64.56	0.2080652722	1.0449539317
-64.55	0.1863527053	1.0159753014
-64.54	0.2216804286	1.0632773146
